,Outlet,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
16,@CBSNews,0.0,0.0,0.0,1.0,17
17,@CBSNews,0.0,0.0,0.0,1.0,18
18,@CBSNews,-0.3818,0.0,0.302,0.698,19
19,@CBSNews,0.0,0.0,0.0,1.0,20
20,@CBSNews,0.816,0.38,0.142,0.478,21
21,@CBSNews,-0.1779,0.0,0.072,0.928,22
22,@CBSNews,0.128,0.073,0.0,0.927,23
23,@CBSNews,0.0,0.0,0.0,1.0,24
24,@CBSNews,0.4019,0.105,0.0,0.895,25
25,@CBSNews,0.0,0.0,0.0,1.0,26
26,@CBSNews,0.0,0.0,0.0,1.0,27
27,@CBSNews,-0.296,0.0,0.128,0.872,28
28,@CBSNews,0.0,0.0,0.0,1.0,29
29,@CBSNews,0.6597,0.375,0.0,0.625,30
30,@CBSNews,0.2023,0.189,0.135,0.676,31
31,@CBSNews,0.4404,0.172,0.0,0.828,32
32,@CBSNews,-0.0772,0.0,0.14,0.86,33
33,@CBSNews,-0.5423,0.0,0.226,0.774,34
34,@CBSNews,-0.5574,0.0,0.247,0.753,35
35,@CBSNews,0.0,0.0,0.0,1.0,36
36,@CBSNews,0.0,0.0,0.0,1.0,37
37,@CBSNews,0.0,0.0,0.0,1.0,38
38,@CBSNews,-0.3818,0.0,0.302,0.698,39
39,@CBSNews,0.0,0.0,0.0,1.0,40
40,@CBSNews,-0.25,0.0,0.125,0.875,41
41,@CBSNews,0.0,0.0,0.0,1.0,42
42,@CBSNews,0.4215,0.189,0.089,0.722,43
43,@CBSNews,0.0,0.0,0.0,1.0,44
44,@CBSNews,0.5719,0.179,0.0,0.821,45
45,@CBSNews,-0.296,0.0,0.104,0.896,46
46,@CBSNews,0.0,0.0,0.0,1.0,47
47,@CBSNews,0.0,0.0,0.0,1.0,48
48,@CBSNews,0.2023,0.122,0.0,0.878,49
49,@CBSNews,-0.4215,0.0,0.123,0.877,50
50,@CBSNews,-0.3818,0.199,0.347,0.455,51
51,@CBSNews,0.0,0.0,0.0,1.0,52
52,@CBSNews,0.0,0.0,0.0,1.0,53
53,@CBSNews,-0.5106,0.0,0.235,0.765,54
54,@CBSNews,0.0772,0.056,0.0,0.944,55
55,@CBSNews,0.0,0.0,0.0,1.0,56
56,@CBSNews,0.0,0.0,0.0,1.0,57
57,@CBSNews,0.0,0.0,0.0,1.0,58
58,@CBSNews,0.0,0.0,0.0,1.0,59
59,@CBSNews,0.7906,0.269,0.0,0.731,60
60,@CBSNews,0.0,0.0,0.0,1.0,61
61,@CBSNews,0.2023,0.076,0.0,0.924,62
62,@CBSNews,0.0,0.0,0.0,1.0,63
63,@CBSNews,0.872,0.368,0.0,0.632,64
64,@CBSNews,0.0,0.0,0.0,1.0,65
65,@CBSNews,0.0,0.0,0.0,1.0,66
66,@CBSNews,0.0516,0.167,0.154,0.679,67
67,@CBSNews,0.34,0.194,0.0,0.806,68
68,@CBSNews,-0.6486,0.0,0.235,0.765,69
69,@CBSNews,0.0,0.0,0.0,1.0,70
70,@CBSNews,-0.3818,0.0,0.302,0.698,71
71,@CBSNews,0.0,0.0,0.0,1.0,72
72,@CBSNews,0.4215,0.254,0.111,0.635,73
73,@CBSNews,-0.5574,0.0,0.141,0.859,74
74,@CBSNews,0.0,0.0,0.0,1.0,75
75,@CBSNews,0.0,0.0,0.0,1.0,76
76,@CBSNews,0.0,0.0,0.0,1.0,77
77,@CBSNews,-0.6908,0.0,0.322,0.678,78
78,@CBSNews,0.7096,0.424,0.0,0.576,79
79,@CBSNews,0.0,0.0,0.0,1.0,80
80,@CBSNews,0.0,0.0,0.0,1.0,81
81,@CBSNews,0.0,0.0,0.0,1.0,82
82,@CBSNews,0.0,0.0,0.0,1.0,83
83,@CBSNews,0.0,0.0,0.0,1.0,84
84,@CBSNews,0.0,0.0,0.0,1.0,85
85,@CBSNews,-0.5574,0.0,0.231,0.769,86
86,@CBSNews,-0.4215,0.0,0.203,0.797,87
87,@CBSNews,0.0,0.0,0.0,1.0,88
88,@CBSNews,0.0,0.0,0.0,1.0,89
89,@CBSNews,-0.34,0.0,0.231,0.769,90
90,@CBSNews,0.2732,0.13,0.0,0.87,91
91,@CBSNews,0.0,0.0,0.0,1.0,92
92,@CBSNews,-0.3612,0.0,0.152,0.848,93
93,@CBSNews,0.0,0.0,0.0,1.0,94
94,@CBSNews,0.0,0.0,0.0,1.0,95
95,@CBSNews,0.0,0.0,0.0,1.0,96
96,@CBSNews,0.0,0.0,0.0,1.0,97
97,@CBSNews,-0.3818,0.0,0.302,0.698,98
98,@CBSNews,0.6486,0.306,0.0,0.694,99
99,@CBSNews,-0.2023,0.0,0.153,0.847,100
0,@CNN,0.4404,0.121,0.0,0.879,1
1,@CNN,-0.296,0.103,0.194,0.702,2
2,@CNN,-0.6486,0.0,0.193,0.807,3
3,@CNN,0.0,0.0,0.0,1.0,4
4,@CNN,-0.7717,0.0,0.34,0.66,5
5,@CNN,-0.34,0.0,0.138,0.862,6
6,@CNN,-0.8271,0.0,0.367,0.633,7
7,@CNN,0.0,0.0,0.0,1.0,8
8,@CNN,-0.5574,0.0,0.205,0.795,9
9,@CNN,-0.3612,0.0,0.128,0.872,10
10,@CNN,0.0,0.0,0.0,1.0,11
11,@CNN,0.0,0.0,0.0,1.0,12
12,@CNN,0.0,0.0,0.0,1.0,13
13,@CNN,0.0,0.0,0.0,1.0,14
14,@CNN,0.0,0.0,0.0,1.0,15
15,@CNN,0.4588,0.284,0.14,0.576,16
16,@CNN,-0.25,0.105,0.149,0.746,17
17,@CNN,0.3182,0.108,0.0,0.892,18
18,@CNN,-0.2782,0.113,0.158,0.729,19
19,@CNN,0.4215,0.135,0.0,0.865,20
20,@CNN,0.4404,0.121,0.0,0.879,21
21,@CNN,-0.296,0.103,0.194,0.702,22
22,@CNN,-0.6486,0.0,0.193,0.807,23
23,@CNN,0.0,0.0,0.0,1.0,24
24,@CNN,-0.7717,0.0,0.34,0.66,25
25,@CNN,-0.34,0.0,0.138,0.862,26
26,@CNN,-0.8271,0.0,0.367,0.633,27
27,@CNN,0.0,0.0,0.0,1.0,28
28,@CNN,-0.5574,0.0,0.205,0.795,29
29,@CNN,-0.3612,0.0,0.128,0.872,30
30,@CNN,0.0,0.0,0.0,1.0,31
31,@CNN,0.0,0.0,0.0,1.0,32
32,@CNN,0.0,0.0,0.0,1.0,33
33,@CNN,0.0,0.0,0.0,1.0,34
34,@CNN,0.0,0.0,0.0,1.0,35
35,@CNN,0.4588,0.284,0.14,0.576,36
36,@CNN,-0.25,0.105,0.149,0.746,37
37,@CNN,0.3182,0.108,0.0,0.892,38
38,@CNN,-0.2782,0.113,0.158,0.729,39
39,@CNN,0.4215,0.135,0.0,0.865,40
40,@CNN,0.5106,0.163,0.0,0.837,41
41,@CNN,0.4854,0.157,0.069,0.774,42
42,@CNN,-0.2263,0.0,0.095,0.905,43
43,@CNN,-0.3818,0.077,0.158,0.765,44
44,@CNN,-0.3612,0.0,0.135,0.865,45
45,@CNN,0.0,0.0,0.0,1.0,46
46,@CNN,-0.1531,0.0,0.091,0.909,47
47,@CNN,0.7783,0.375,0.0,0.625,48
48,@CNN,-0.296,0.0,0.104,0.896,49
49,@CNN,-0.5574,0.0,0.159,0.841,50
50,@CNN,0.2732,0.095,0.0,0.905,51
51,@CNN,0.4767,0.134,0.0,0.866,52
52,@CNN,-0.6059,0.051,0.199,0.75,53
53,@CNN,0.0,0.0,0.0,1.0,54
54,@CNN,0.0,0.0,0.0,1.0,55
55,@CNN,0.2023,0.213,0.135,0.652,56
56,@CNN,0.0,0.0,0.0,1.0,57
57,@CNN,0.0,0.0,0.0,1.0,58
58,@CNN,-0.296,0.103,0.194,0.702,59
59,@CNN,0.0,0.0,0.0,1.0,60
60,@CNN,0.3182,0.315,0.0,0.685,61
61,@CNN,-0.3182,0.067,0.126,0.807,62
62,@CNN,0.1901,0.084,0.0,0.916,63
63,@CNN,-0.128,0.073,0.098,0.829,64
64,@CNN,0.0,0.0,0.0,1.0,65
65,@CNN,0.4404,0.121,0.0,0.879,66
66,@CNN,0.0,0.0,0.0,1.0,67
67,@CNN,0.5423,0.191,0.0,0.809,68
68,@CNN,-0.0516,0.0,0.054,0.946,69
69,@CNN,0.0,0.0,0.0,1.0,70
70,@CNN,-0.7269,0.0,0.295,0.705,71
71,@CNN,0.3612,0.189,0.0,0.811,72
72,@CNN,-0.9194,0.0,0.465,0.535,73
73,@CNN,0.2732,0.1,0.0,0.9,74
74,@CNN,-0.3182,0.145,0.226,0.629,75
75,@CNN,0.0,0.0,0.0,1.0,76
76,@CNN,0.0,0.0,0.0,1.0,77
77,@CNN,0.0772,0.064,0.0,0.936,78
78,@CNN,0.0,0.0,0.0,1.0,79
79,@CNN,0.8519,0.356,0.0,0.644,80
80,@CNN,-0.0516,0.097,0.105,0.798,81
81,@CNN,0.1531,0.071,0.0,0.929,82
82,@CNN,-0.7506,0.0,0.299,0.701,83
83,@CNN,0.0,0.0,0.0,1.0,84
84,@CNN,0.0,0.0,0.0,1.0,85
85,@CNN,-0.7003,0.0,0.225,0.775,86
86,@CNN,-0.5423,0.088,0.222,0.69,87
87,@CNN,0.0,0.0,0.0,1.0,88
88,@CNN,-0.296,0.0,0.095,0.905,89
89,@CNN,0.0,0.0,0.0,1.0,90
90,@CNN,0.7964,0.288,0.0,0.712,91
91,@CNN,0.0,0.0,0.0,1.0,92
92,@CNN,0.5106,0.148,0.0,0.852,93
93,@CNN,0.6801,0.259,0.0,0.741,94
94,@CNN,0.4939,0.232,0.086,0.682,95
95,@CNN,0.8883,0.382,0.0,0.618,96
96,@CNN,-0.836,0.0,0.305,0.695,97
97,@CNN,0.8883,0.382,0.0,0.618,98
98,@CNN,-0.1027,0.069,0.085,0.846,99
99,@CNN,0.0772,0.142,0.131,0.727,100
0,@FoxNews,0.0,0.0,0.0,1.0,1
1,@FoxNews,-0.6124,0.115,0.269,0.615,2
2,@FoxNews,-0.7783,0.0,0.362,0.638,3
3,@FoxNews,0.7906,0.389,0.0,0.611,4
4,@FoxNews,-0.6369,0.0,0.167,0.833,5
5,@FoxNews,-0.6597,0.0,0.328,0.672,6
6,@FoxNews,-0.34,0.0,0.138,0.862,7
7,@FoxNews,0.0,0.0,0.0,1.0,8
8,@FoxNews,0.0,0.0,0.0,1.0,9
9,@FoxNews,-0.34,0.0,0.13,0.87,10
10,@FoxNews,0.0258,0.105,0.1,0.795,11
11,@FoxNews,-0.6486,0.0,0.264,0.736,12
12,@FoxNews,-0.6486,0.0,0.281,0.719,13
13,@FoxNews,0.0,0.0,0.0,1.0,14
14,@FoxNews,-0.6486,0.0,0.323,0.677,15
15,@FoxNews,-0.6486,0.0,0.281,0.719,16
16,@FoxNews,-0.6486,0.0,0.235,0.765,17
17,@FoxNews,0.0,0.0,0.0,1.0,18
18,@FoxNews,0.0,0.0,0.0,1.0,19
19,@FoxNews,0.0,0.0,0.0,1.0,20
20,@FoxNews,0.0,0.0,0.0,1.0,21
21,@FoxNews,-0.6124,0.115,0.269,0.615,22
22,@FoxNews,-0.7783,0.0,0.362,0.638,23
23,@FoxNews,0.7906,0.389,0.0,0.611,24
24,@FoxNews,-0.6369,0.0,0.167,0.833,25
25,@FoxNews,-0.6597,0.0,0.328,0.672,26
26,@FoxNews,-0.34,0.0,0.138,0.862,27
27,@FoxNews,0.0,0.0,0.0,1.0,28
28,@FoxNews,0.0,0.0,0.0,1.0,29
29,@FoxNews,-0.34,0.0,0.13,0.87,30
30,@FoxNews,0.0258,0.105,0.1,0.795,31
31,@FoxNews,-0.6486,0.0,0.264,0.736,32
32,@FoxNews,-0.6486,0.0,0.281,0.719,33
33,@FoxNews,0.0,0.0,0.0,1.0,34
34,@FoxNews,-0.6486,0.0,0.323,0.677,35
35,@FoxNews,-0.6486,0.0,0.281,0.719,36
36,@FoxNews,-0.6486,0.0,0.235,0.765,37
37,@FoxNews,0.0,0.0,0.0,1.0,38
38,@FoxNews,0.0,0.0,0.0,1.0,39
39,@FoxNews,0.0,0.0,0.0,1.0,40
40,@FoxNews,0.4767,0.22,0.0,0.78,41
41,@FoxNews,-0.6486,0.0,0.235,0.765,42
42,@FoxNews,-0.6486,0.0,0.381,0.619,43
43,@FoxNews,-0.3182,0.0,0.108,0.892,44
44,@FoxNews,0.0,0.0,0.0,1.0,45
45,@FoxNews,-0.4939,0.0,0.286,0.714,46
46,@FoxNews,-0.5267,0.0,0.236,0.764,47
47,@FoxNews,0.4019,0.119,0.0,0.881,48
48,@FoxNews,0.4939,0.144,0.0,0.856,49
49,@FoxNews,0.0,0.0,0.0,1.0,50
50,@FoxNews,0.0,0.0,0.0,1.0,51
51,@FoxNews,0.0,0.0,0.0,1.0,52
52,@FoxNews,0.2006,0.126,0.091,0.783,53
53,@FoxNews,-0.4404,0.0,0.218,0.782,54
54,@FoxNews,-0.4939,0.216,0.344,0.44,55
55,@FoxNews,0.0,0.0,0.0,1.0,56
56,@FoxNews,0.4939,0.158,0.0,0.842,57
57,@FoxNews,0.5106,0.155,0.0,0.845,58
58,@FoxNews,0.2263,0.186,0.124,0.69,59
59,@FoxNews,0.7096,0.296,0.0,0.704,60
60,@FoxNews,0.5719,0.207,0.0,0.793,61
61,@FoxNews,-0.7351,0.0,0.279,0.721,62
62,@FoxNews,-0.4215,0.0,0.286,0.714,63
63,@FoxNews,0.7964,0.283,0.0,0.717,64
64,@FoxNews,0.4404,0.293,0.0,0.707,65
65,@FoxNews,-0.4767,0.0,0.307,0.693,66
66,@FoxNews,0.0772,0.061,0.0,0.939,67
67,@FoxNews,0.0,0.0,0.0,1.0,68
68,@FoxNews,0.0,0.0,0.0,1.0,69
69,@FoxNews,-0.5423,0.0,0.171,0.829,70
70,@FoxNews,0.0,0.0,0.0,1.0,71
71,@FoxNews,0.2006,0.126,0.091,0.783,72
72,@FoxNews,-0.34,0.0,0.167,0.833,73
73,@FoxNews,0.0,0.0,0.0,1.0,74
74,@FoxNews,-0.5719,0.0,0.217,0.783,75
75,@FoxNews,0.3182,0.192,0.088,0.72,76
76,@FoxNews,0.0,0.0,0.0,1.0,77
77,@FoxNews,0.0,0.0,0.0,1.0,78
78,@FoxNews,0.6841,0.298,0.099,0.603,79
79,@FoxNews,0.0,0.0,0.0,1.0,80
80,@FoxNews,0.0,0.0,0.0,1.0,81
81,@FoxNews,0.0,0.0,0.0,1.0,82
82,@FoxNews,0.296,0.104,0.0,0.896,83
83,@FoxNews,0.7096,0.296,0.0,0.704,84
84,@FoxNews,0.0,0.0,0.0,1.0,85
85,@FoxNews,-0.1531,0.0,0.127,0.873,86
86,@FoxNews,-0.296,0.0,0.155,0.845,87
87,@FoxNews,-0.4939,0.0,0.225,0.775,88
88,@FoxNews,-0.5574,0.0,0.265,0.735,89
89,@FoxNews,0.5106,0.155,0.0,0.845,90
90,@FoxNews,0.0,0.0,0.0,1.0,91
91,@FoxNews,-0.296,0.0,0.196,0.804,92
92,@FoxNews,-0.2023,0.0,0.122,0.878,93
93,@FoxNews,0.5106,0.202,0.0,0.798,94
94,@FoxNews,0.0,0.0,0.0,1.0,95
95,@FoxNews,0.0,0.0,0.0,1.0,96
96,@FoxNews,0.0,0.0,0.0,1.0,97
97,@FoxNews,0.4939,0.158,0.0,0.842,98
98,@FoxNews,-0.0772,0.17,0.191,0.638,99
99,@FoxNews,-0.4215,0.0,0.257,0.743,100
0,@nytimes,0.0,0.0,0.0,1.0,1
1,@nytimes,0.3291,0.128,0.0,0.872,2
2,@nytimes,0.8176,0.309,0.0,0.691,3
3,@nytimes,-0.3919,0.043,0.104,0.853,4
4,@nytimes,0.7506,0.252,0.0,0.748,5
5,@nytimes,0.4215,0.157,0.0,0.843,6
6,@nytimes,-0.4404,0.0,0.112,0.888,7
7,@nytimes,0.5859,0.183,0.0,0.817,8
8,@nytimes,-0.3818,0.0,0.178,0.822,9
9,@nytimes,-0.3182,0.0,0.126,0.874,10
10,@nytimes,0.0,0.0,0.0,1.0,11
11,@nytimes,0.0,0.0,0.0,1.0,12
12,@nytimes,0.4019,0.13,0.0,0.87,13
13,@nytimes,0.0,0.0,0.0,1.0,14
14,@nytimes,0.8689,0.318,0.0,0.682,15
15,@nytimes,0.0,0.0,0.0,1.0,16
16,@nytimes,-0.8126,0.0,0.331,0.669,17
17,@nytimes,0.0,0.0,0.0,1.0,18
18,@nytimes,-0.1363,0.078,0.101,0.821,19
19,@nytimes,0.2732,0.116,0.0,0.884,20
20,@nytimes,0.0,0.0,0.0,1.0,21
21,@nytimes,0.3291,0.128,0.0,0.872,22
22,@nytimes,0.8176,0.309,0.0,0.691,23
23,@nytimes,-0.3919,0.043,0.104,0.853,24
24,@nytimes,0.7506,0.252,0.0,0.748,25
25,@nytimes,0.4215,0.157,0.0,0.843,26
26,@nytimes,-0.4404,0.0,0.112,0.888,27
27,@nytimes,0.5859,0.183,0.0,0.817,28
28,@nytimes,-0.3818,0.0,0.178,0.822,29
29,@nytimes,-0.3182,0.0,0.126,0.874,30
30,@nytimes,0.0,0.0,0.0,1.0,31
31,@nytimes,0.0,0.0,0.0,1.0,32
32,@nytimes,0.4019,0.13,0.0,0.87,33
33,@nytimes,0.0,0.0,0.0,1.0,34
34,@nytimes,0.8689,0.318,0.0,0.682,35
35,@nytimes,0.0,0.0,0.0,1.0,36
36,@nytimes,-0.8126,0.0,0.331,0.669,37
37,@nytimes,0.0,0.0,0.0,1.0,38
38,@nytimes,-0.1363,0.078,0.101,0.821,39
39,@nytimes,0.2732,0.116,0.0,0.884,40
40,@nytimes,-0.1027,0.0,0.069,0.931,41
41,@nytimes,-0.296,0.0,0.121,0.879,42
42,@nytimes,0.0,0.0,0.0,1.0,43
43,@nytimes,-0.4404,0.0,0.121,0.879,44
44,@nytimes,0.0,0.0,0.0,1.0,45
45,@nytimes,0.0,0.0,0.0,1.0,46
46,@nytimes,0.3818,0.14,0.0,0.86,47
47,@nytimes,0.5267,0.134,0.0,0.866,48
48,@nytimes,0.6369,0.181,0.0,0.819,49
49,@nytimes,0.0,0.0,0.0,1.0,50
50,@nytimes,0.0,0.0,0.0,1.0,51
51,@nytimes,0.0,0.0,0.0,1.0,52
52,@nytimes,-0.4767,0.0,0.129,0.871,53
53,@nytimes,-0.3182,0.0,0.119,0.881,54
54,@nytimes,-0.4767,0.0,0.194,0.806,55
55,@nytimes,-0.6808,0.061,0.278,0.66,56
56,@nytimes,-0.8402,0.0,0.37,0.63,57
57,@nytimes,0.296,0.15,0.102,0.748,58
58,@nytimes,0.4019,0.124,0.0,0.876,59
59,@nytimes,-0.2732,0.0,0.123,0.877,60
60,@nytimes,-0.2263,0.0,0.16,0.84,61
61,@nytimes,-0.5574,0.0,0.175,0.825,62
62,@nytimes,-0.4019,0.0,0.198,0.802,63
63,@nytimes,0.3612,0.116,0.0,0.884,64
64,@nytimes,0.5719,0.15,0.0,0.85,65
65,@nytimes,0.2023,0.083,0.0,0.917,66
66,@nytimes,-0.25,0.0,0.091,0.909,67
67,@nytimes,-0.34,0.092,0.193,0.714,68
68,@nytimes,0.1027,0.08,0.0,0.92,69
69,@nytimes,0.296,0.233,0.142,0.625,70
70,@nytimes,0.5574,0.194,0.0,0.806,71
71,@nytimes,0.4215,0.161,0.08,0.759,72
72,@nytimes,-0.4767,0.0,0.134,0.866,73
73,@nytimes,-0.7425,0.0,0.239,0.761,74
74,@nytimes,0.0,0.0,0.0,1.0,75
75,@nytimes,0.3612,0.116,0.0,0.884,76
76,@nytimes,0.3818,0.11,0.0,0.89,77
77,@nytimes,0.5423,0.238,0.112,0.65,78
78,@nytimes,-0.3597,0.0,0.185,0.815,79
79,@nytimes,0.0,0.0,0.0,1.0,80
80,@nytimes,0.34,0.103,0.0,0.897,81
81,@nytimes,-0.1027,0.113,0.138,0.75,82
82,@nytimes,0.7322,0.266,0.0,0.734,83
83,@nytimes,-0.6808,0.0,0.235,0.765,84
84,@nytimes,0.7506,0.316,0.085,0.598,85
85,@nytimes,0.8591,0.345,0.0,0.655,86
86,@nytimes,-0.5106,0.0,0.155,0.845,87
87,@nytimes,0.0,0.0,0.0,1.0,88
88,@nytimes,0.2732,0.14,0.0,0.86,89
89,@nytimes,0.2263,0.095,0.0,0.905,90
90,@nytimes,0.4215,0.128,0.0,0.872,91
91,@nytimes,-0.4767,0.0,0.147,0.853,92
92,@nytimes,-0.9231,0.0,0.425,0.575,93
93,@nytimes,0.296,0.18,0.07,0.75,94
94,@nytimes,-0.2732,0.112,0.193,0.695,95
95,@nytimes,0.4939,0.151,0.0,0.849,96
96,@nytimes,-0.2263,0.0,0.095,0.905,97
97,@nytimes,0.5106,0.136,0.0,0.864,98
98,@nytimes,0.6249,0.288,0.107,0.605,99
99,@nytimes,-0.2572,0.0,0.085,0.915,100
